q2_birthyear,q3_gender,q4_province,q6_satisfied_democracy,q9_interest_election,q10_certain_vote,q11_vote_intention,q14_feeling_liberal_party,q15_feeling_cons_party
1989,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",50,20
1993,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",45,0
1983,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,20,60
1980,(1) Male,(5) Quebec,(1) Very satisfied,(3),(1) Certain,(1) Liberal (Grits),80,29
1987,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",80,30
1948,(2) Female,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",60,100
1976,(2) Female,(5) Quebec,(3) Not very satisfied,(9),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",65,3
1991,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,60,40
1964,(2) Female,(6) Ontario,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,70,70
1986,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(-8) Refused,85,0
1997,(1) Male,(5) Quebec,(3) Not very satisfied,(9),(1) Certain,(1) Liberal (Grits),50,60
1954,(1) Male,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,50,50
1977,(2) Female,(5) Quebec,(1) Very satisfied,(8),(1) Certain,(1) Liberal (Grits),90,40
1957,(1) Male,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(2) Likely,(-8) Refused,90,30
1981,(2) Female,(5) Quebec,(3) Not very satisfied,(6),(1) Certain,(1) Liberal (Grits),80,40
1974,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,80,75
1984,(1) Male,(5) Quebec,(3) Not very satisfied,(6),(2) Likely,(-9) Don't know / Undecided,75,50
1989,(2) Female,(5) Quebec,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),80,0
1967,(1) Male,(5) Quebec,(3) Not very satisfied,(7),(2) Likely,(1) Liberal (Grits),90,60
1990,(1) Male,(5) Quebec,(1) Very satisfied,(10) Great deal of interest,(2) Likely,(-9) Don't know / Undecided,65,0
1989,(1) Male,(5) Quebec,(4) Not satisfied at all,(0) No interest at all,(4) Certain not to vote,NA,0,10
1999,(1) Male,(5) Quebec,(3) Not very satisfied,(7),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",60,30
1978,(1) Male,(5) Quebec,(3) Not very satisfied,(2),(3) Unlikely,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",0,0
1951,(1) Male,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,80
1980,(2) Female,(5) Quebec,(1) Very satisfied,(2),(2) Likely,(-9) Don't know / Undecided,80,60
1979,(1) Male,(5) Quebec,(3) Not very satisfied,(5),(1) Certain,(-9) Don't know / Undecided,10,70
1989,(1) Male,(5) Quebec,(3) Not very satisfied,(5),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",20,20
1960,(1) Male,(5) Quebec,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,50,50
1993,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(10) Will spoil ballet,20,70
1956,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-8) Refused,70,40
2001,(1) Male,(5) Quebec,(-9) Don't know,(10) Great deal of interest,(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",55,0
1952,(1) Male,(5) Quebec,(3) Not very satisfied,(6),(3) Unlikely,(-8) Refused,50,60
1999,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(2) Likely,(-9) Don't know / Undecided,80,50
1973,(2) Female,(5) Quebec,(3) Not very satisfied,(5),(1) Certain,(-9) Don't know / Undecided,25,25
1985,(1) Male,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),90,0
1955,(1) Male,(5) Quebec,(2) Fairly satisfied,(5),(1) Certain,(-9) Don't know / Undecided,50,0
1969,(1) Male,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),80,30
1955,(2) Female,(6) Ontario,(1) Very satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),80,10
1951,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,50,40
2001,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",20,80
1978,(1) Male,(6) Ontario,(3) Not very satisfied,(8),(1) Certain,(5) Green Party (Greens),55,40
1978,(1) Male,(6) Ontario,(3) Not very satisfied,(8),(1) Certain,(-9) Don't know / Undecided,25,50
1984,(2) Female,(6) Ontario,(3) Not very satisfied,(7),(2) Likely,"(3) NDP (New Democratic Party, New Democrats, NDPers)",70,0
1959,(2) Female,(6) Ontario,(2) Fairly satisfied,(9),(1) Certain,(-9) Don't know / Undecided,60,50
1952,(1) Male,(6) Ontario,(1) Very satisfied,(6),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",40,80
1986,(1) Male,(6) Ontario,(2) Fairly satisfied,(9),(1) Certain,(-9) Don't know / Undecided,65,30
1985,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,68,60
2000,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(2) Likely,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",15,85
1978,(2) Female,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),75,10
1986,(2) Female,(6) Ontario,(2) Fairly satisfied,(9),(1) Certain,(5) Green Party (Greens),50,10
1965,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(5) Green Party (Greens),50,30
1943,(2) Female,(6) Ontario,(-9) Don't know,(7),(5) Already voted in advanced poll,(5) Green Party (Greens),50,15
1986,(2) Female,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,70,65
1986,(1) Male,(6) Ontario,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),70,40
1973,(1) Male,(6) Ontario,(2) Fairly satisfied,(9),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",41,70
1986,(1) Male,(6) Ontario,(2) Fairly satisfied,(4),(2) Likely,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",52,70
1976,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,70,65
1958,(2) Female,(6) Ontario,(1) Very satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),80,20
1979,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",50,40
1983,(2) Female,(6) Ontario,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(-8) Refused,50,0
1969,(2) Female,(6) Ontario,(2) Fairly satisfied,(5),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",50,60
1986,(1) Male,(6) Ontario,(2) Fairly satisfied,(9),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",10,100
1997,(1) Male,(6) Ontario,(4) Not satisfied at all,(10) Great deal of interest,(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",30,0
1983,(1) Male,(6) Ontario,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,76,55
1979,(2) Female,(6) Ontario,(4) Not satisfied at all,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,0,20
2001,(1) Male,(6) Ontario,(2) Fairly satisfied,(6),(2) Likely,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",30,80
1961,(2) Female,(6) Ontario,(2) Fairly satisfied,(5),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",50,50
1943,(1) Male,(6) Ontario,(1) Very satisfied,(3),(1) Certain,(-9) Don't know / Undecided,60,40
1990,(1) Male,(6) Ontario,(2) Fairly satisfied,(5),(1) Certain,(1) Liberal (Grits),80,0
1964,(2) Female,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",10,80
1947,(2) Female,(6) Ontario,(2) Fairly satisfied,(5),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",35,85
1992,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,NA,NA
1946,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",75,10
1959,(1) Male,(6) Ontario,(3) Not very satisfied,(9),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",10,25
1991,(2) Female,(6) Ontario,(3) Not very satisfied,(4),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",40,20
1995,(2) Female,(6) Ontario,(2) Fairly satisfied,(8),(2) Likely,"(3) NDP (New Democratic Party, New Democrats, NDPers)",55,78
1979,(2) Female,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,75
1992,(2) Female,(6) Ontario,(2) Fairly satisfied,(8),(2) Likely,(1) Liberal (Grits),90,0
1961,(2) Female,(6) Ontario,(4) Not satisfied at all,(0) No interest at all,(2) Likely,(-9) Don't know / Undecided,NA,NA
2001,(1) Male,(6) Ontario,(3) Not very satisfied,(7),(2) Likely,(6) People's Party,20,30
1982,(1) Male,(6) Ontario,(1) Very satisfied,(9),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",70,20
1944,(1) Male,(6) Ontario,(1) Very satisfied,(8),(1) Certain,(1) Liberal (Grits),80,0
1949,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(5) Already voted in advanced poll,"(3) NDP (New Democratic Party, New Democrats, NDPers)",70,20
1973,(1) Male,(6) Ontario,(2) Fairly satisfied,(5),(1) Certain,(1) Liberal (Grits),70,30
1989,(1) Male,(6) Ontario,(1) Very satisfied,(8),(1) Certain,(1) Liberal (Grits),90,65
1958,(1) Male,(6) Ontario,(2) Fairly satisfied,(5),(2) Likely,(1) Liberal (Grits),80,10
1973,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),75,5
1964,(1) Male,(6) Ontario,(3) Not very satisfied,(9),(1) Certain,(1) Liberal (Grits),35,0
1964,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(9) None of these,75,75
1966,(2) Female,(6) Ontario,(-9) Don't know,(0) No interest at all,(3) Unlikely,"(3) NDP (New Democratic Party, New Democrats, NDPers)",0,10
1992,(2) Female,(6) Ontario,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),90,10
1979,(2) Female,(6) Ontario,(2) Fairly satisfied,(9),(1) Certain,(1) Liberal (Grits),80,50
1981,(1) Male,(6) Ontario,(2) Fairly satisfied,(5),(2) Likely,(-9) Don't know / Undecided,80,70
1953,(2) Female,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),85,10
1960,(1) Male,(6) Ontario,(4) Not satisfied at all,(5),(1) Certain,(-9) Don't know / Undecided,60,0
1973,(2) Female,(6) Ontario,(3) Not very satisfied,(3),(1) Certain,(6) People's Party,30,65
1976,(2) Female,(6) Ontario,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,30,50
1992,(1) Male,(6) Ontario,(2) Fairly satisfied,(7),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",60,50
1951,(2) Female,(6) Ontario,(1) Very satisfied,(9),(1) Certain,(5) Green Party (Greens),60,0
1988,(2) Female,(6) Ontario,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,50,50
1949,(1) Male,(6) Ontario,(1) Very satisfied,(9),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",10,100
1977,(2) Female,(6) Ontario,(3) Not very satisfied,(9),(1) Certain,(-9) Don't know / Undecided,30,20
1984,(1) Male,(6) Ontario,(3) Not very satisfied,(10) Great deal of interest,(5) Already voted in advanced poll,(1) Liberal (Grits),90,25
1971,(1) Male,(6) Ontario,(2) Fairly satisfied,(6),(2) Likely,"(3) NDP (New Democratic Party, New Democrats, NDPers)",10,40
1959,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",15,90
1976,(1) Male,(6) Ontario,(2) Fairly satisfied,(7),(2) Likely,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",5,7
1965,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",25,75
1947,(1) Male,(6) Ontario,(2) Fairly satisfied,(9),(1) Certain,(1) Liberal (Grits),90,40
1970,(1) Male,(6) Ontario,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,100
1989,(1) Male,(6) Ontario,(4) Not satisfied at all,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),70,50
1975,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",35,25
1985,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),90,25
1976,(2) Female,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",40,0
1966,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",50,80
1988,(1) Male,(6) Ontario,(2) Fairly satisfied,(5),(3) Unlikely,(-9) Don't know / Undecided,50,60
1990,(2) Female,(6) Ontario,(1) Very satisfied,(3),(2) Likely,(-9) Don't know / Undecided,NA,NA
1980,(2) Female,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,80
1956,(2) Female,(6) Ontario,(2) Fairly satisfied,(7),(2) Likely,(1) Liberal (Grits),10,80
1995,(1) Male,(6) Ontario,(4) Not satisfied at all,(10) Great deal of interest,(4) Certain not to vote,NA,0,0
1990,(2) Female,(6) Ontario,(2) Fairly satisfied,(7),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",48,80
1952,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),90,15
1964,(1) Male,(9) Alberta,(3) Not very satisfied,(8),(2) Likely,(-9) Don't know / Undecided,30,60
1948,(2) Female,(6) Ontario,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),70,20
1932,(2) Female,(6) Ontario,(1) Very satisfied,(10) Great deal of interest,(1) Certain,(-8) Refused,90,60
1972,(1) Male,(6) Ontario,(2) Fairly satisfied,(2),(3) Unlikely,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",2,50
1947,(1) Male,(6) Ontario,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",50,60
1961,(2) Female,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(5) Already voted in advanced poll,(-8) Refused,85,25
1962,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),100,85
1964,(1) Male,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),70,60
1980,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",65,20
1961,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,15,12
1965,(2) Female,(6) Ontario,(3) Not very satisfied,(10) Great deal of interest,(5) Already voted in advanced poll,"(3) NDP (New Democratic Party, New Democrats, NDPers)",70,0
1982,(1) Male,(6) Ontario,(3) Not very satisfied,(8),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",40,40
1967,(1) Male,(6) Ontario,(3) Not very satisfied,(8),(1) Certain,(-9) Don't know / Undecided,65,49
1996,(1) Male,(6) Ontario,(-9) Don't know,(4),(2) Likely,"(3) NDP (New Democratic Party, New Democrats, NDPers)",0,0
1980,(1) Male,(6) Ontario,(3) Not very satisfied,(8),(5) Already voted in advanced poll,(6) People's Party,10,50
1963,(1) Male,(6) Ontario,(2) Fairly satisfied,(5),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",40,60
1979,(1) Male,(6) Ontario,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),70,30
